728310ce a4f50e79 a53f7758 00000020 00000024 0 0
7676568a 8048f41e 560836ab ba92a408 ba92a40c 0 1
5c616789 b02f113d 1ff041d6 ba92a408 ba92a40c 0 1
b7cf2469 7efc4615 49fce05c ba92a408 ba92a40c 0 0
4cefdd11 7fe3d267 19bea87e ba92a40c ba92a410 0 1
4c877f91 ca7463b6 0b292f28 ba92a40c ba92a410 0 0
7a6a5a36 0b6ba81b 04ef2e2e ba92a410 ba92a414 0 0
cba26948 2b63166b 9bf13c84 ba92a414 ba92a418 0 0
87221abf 3037100d 181ad802 ba92a418 ba92a41c 0 1
34146064 0ea36586 ecc3b457 ba92a418 ba92a41c 0 0
88305ea8 0424d9e1 70e7be0d ba92a41c ba92a420 0 1
c5966bc5 162ea898 0ab69f67 ba92a41c ba92a420 0 0
5388b11a 5cd7aff7 894ae918 ba92a420 ba92a424 0 1
593d4fb8 0b7e1e87 76139f79 ba92a420 ba92a424 0 0
44ef9a03 22de2870 b8ee080d ba92a424 ba92a428 0 1
f3c771ee 025fcb08 b9918dd6 ba92a424 ba92a428 0 1
693f77f4 9f10a5bb 17524d3c ba92a424 ba92a428 0 1
d39ffc79 2971d71a da23223a ba92a424 ba92a428 0 1
4dd82b4d d89633d4 f1ea322d ba92a424 ba92a428 0 1
7b5a1bd8 e9b71027 4aba59ad ba92a424 ba92a428 0 1
d0f11602 f74721f2 5a05d065 ba92a424 ba92a428 0 1
071849e3 0d610353 10394afc ba92a424 ba92a428 0 1
06ecfaea 04365161 1c7141b2 ba92a424 ba92a428 0 0
fdb164d3 c5566210 6317c06d ba92a428 ba92a42c 0 0
df2e5ae0 fd0f3fa7 5b5e8461 ba92a42c ba92a430 0 1
9b3749d6 2de28a73 26f034a0 ba92a42c ba92a430 0 0
20606067 c700d82e 2e986352 ba92a430 ba92a434 0 1
249453b0 9c10a872 12d24d65 ba92a430 ba92a434 0 1
240d7943 7ba0f5c2 06478d6d ba92a430 ba92a434 0 1
173599c0 1b86e4a5 a5c593ba ba92a430 ba92a434 0 1
f050c70e df6c9521 7320aecf ba92a430 ba92a434 0 0
0489afc8 9cb90657 47bc4c73 ba92a434 ba92a438 0 1
cd9644a9 8fb2e946 580e1156 ba92a434 ba92a438 0 0
ca89ea00 fbcd79c9 fba0ba2e ba92a438 ba92a43c 0 1
ed6ea336 cdf65608 9e6157b5 ba92a438 ba92a43c 0 0
cd36871d 8597ed16 fe654c24 ba92a43c ba92a440 0 1
d36cc85e 0ce435a1 635cec8a ba92a43c ba92a440 0 1
5b2b8380 eca5ed5b 16a397db ba92a43c ba92a440 0 1
d561d37e 9c48f510 c8e54e29 ba92a43c ba92a440 0 1
8c85f4fb 372655d4 bc019c43 ba92a43c ba92a440 0 1
70c83e75 080d38c0 856075e7 ba92a43c ba92a440 0 1
03bb5323 8082a271 e02b0f58 ba92a43c ba92a440 0 1
39aba614 c097bf3c 04c1bd5d ba92a43c ba92a440 0 1
0fc2103d 795c9661 c3eb8044 ba92a43c ba92a440 0 1
4649e232 cd0a6d5f 7dd722a6 ba92a43c ba92a440 3 1
f5012ba0 7c32e5c1 6653f631 ba92a43c ba92a440 0 0
67648451 61c60b06 15e78e14 ba92a440 ba92a444 0 0
7b76a6e6 da22d334 8be5c064 ba92a444 ba92a448 0 1
403f96a6 bf60fc27 253b1223 ba92a444 ba92a448 0 1
5f116cd3 a0046855 956358b6 ba92a444 ba92a448 0 1
806c739b 27758469 8edcefab ba92a444 ba92a448 0 1
bda22af4 d1099a3c 65918e5e ba92a444 ba92a448 0 0
7411d1a4 a2d315fd 1f801fe0 ba92a448 ba92a44c 0 1
6ef1d9f5 c33304d6 f93174d2 ba92a448 ba92a44c 0 1
924ceafd ef73f4fa 4113097a ba92a448 ba92a44c 0 0
284d3e8f 61e87f06 b9d5f850 ba92a44c ba92a450 0 1
831ef149 ea9e74bb 5fc7964a ba92a44c ba92a450 0 1
d24ccaea 3a2d510b bd397d39 ba92a44c ba92a450 0 1
fdaf76e8 a84a1b17 8090539b ba92a44c ba92a450 0 0
b920d2cc 7a967568 c8918042 ba92a450 ba92a454 0 1
2d14f3de 11bdaaf8 d62fd50b ba92a450 ba92a454 0 1
1e2401ee 33db165d 2809d071 ba92a450 ba92a454 0 0
bcf988b2 328e5519 69a42ea9 ba92a454 ba92a458 0 1
d82cd52d eff867ed ed445ac1 ba92a454 ba92a458 0 0
41234e20 e0d7cfd7 0088e343 ba92a458 ba92a45c 0 1
e1969059 88c83570 c4993bcc ba92a458 ba92a45c 0 0
376162f7 092044cf fd33f07c ba92a45c ba92a460 0 1
674aec4d 1c23e522 c3a7b202 ba92a45c ba92a460 0 0
cb96fdf1 315981d5 44f455b7 ba92a460 ba92a464 0 1
9b9e365b cf3592cd b90a7b3c ba92a460 ba92a464 3 1
cf5678b6 78af2dc5 711dd730 ba92a460 ba92a464 0 0
fe51e1f3 e3bad489 c821f495 ba92a464 ba92a468 0 1
12f59031 298e3388 b83a5ea4 ba92a464 ba92a468 0 1
ac3d16d6 1cbb5456 a23f5595 ba92a464 ba92a468 0 1
f97576d2 4d5013e6 df5e6317 ba92a464 ba92a468 0 0
e8fa510e 2639771d e12e5f54 ba92a468 ba92a46c 0 0
1d4dcc88 615284f2 2469b890 ba92a46c ba92a470 0 1
544cc4f3 b65dc4db 8ce97d91 ba92a46c ba92a470 0 0
56aaee86 97ec8d84 a316a533 ba92a470 ba92a474 0 0
f5e53674 d928c603 5f570af9 ba92a474 ba92a478 0 1
3901d732 75411ef1 1846daf2 ba92a474 ba92a478 0 0
1e1accba 56d9b4e0 d72400fa ba92a478 ba92a47c 0 1
72ca3826 0d65e9cd 41c8f929 ba92a478 ba92a47c 0 1
8b32cffb 42281d24 d687bcf8 ba92a478 ba92a47c 0 1
6d205f04 fc8d9a7f e721d48f ba92a478 ba92a47c 0 1
cb0f685b 5cb3514c 0ddade5e ba92a478 ba92a47c 0 0
19a82eaf 168b69c9 301a912b ba92a47c ba92a480 0 0
ea88df89 1d5cdfe2 555a2e60 ba92a480 ba92a484 0 0
64264c7e 46735739 26453c2c ba92a484 ba92a488 0 0
52382a64 b4b61a95 3d538e5a ba92a488 ba92a48c 0 1
f8700692 d54a0d8f fd0bb093 ba92a488 ba92a48c 0 1
bbe834a0 1eb73ae1 1e666833 ba92a488 ba92a48c 0 1
8d20ecc6 b564e19b a968d6e2 ba92a488 ba92a48c 0 0
5ed021fb 83fe758e 9f5d70d8 ba92a48c ba92a490 0 1
bf57d3e0 12ea56ab 4d32a2ee ba92a48c ba92a490 2 1
3b43f27a 70968ceb 80302f43 ba92a48c ba92a490 0 0
777c2d78 d4e505e9 9c7c4bca ba92a490 ba92a494 0 1
4213bc99 f40b9915 6f2e58b0 ba92a490 ba92a494 0 1
c316b4b4 2e08fb7f e974fbd2 ba92a490 ba92a494 0 0
63013adc 0888bbe0 2027e078 ba92a494 ba92a498 0 1
8e36295f 94141b41 4e5f4527 ba92a494 ba92a498 0 0
c7b23aa5 ec4c08c0 86fc9098 ba92a498 ba92a49c 0 1
7002540a 0fc9911b 94b2a222 ba92a498 ba92a49c 0 0
9d6368aa 20bf1df4 2e07e846 ba92a49c ba92a4a0 0 1
9b4c91b1 337431dc 038c7914 ba92a49c ba92a4a0 0 0
b567c130 b2638d3d fa7c88fc ba92a4a0 ba92a4a4 0 1
556accb6 5fb8cb33 85141ccc ba92a4a0 ba92a4a4 0 0
7e5b2bc0 1a0deaa1 d0c1ecbf ba92a4a4 ba92a4a8 0 0
9e7a1b6f 854b8a52 f1923d83 ba92a4a8 ba92a4ac 0 0
539b0ab2 460a219d 75df90b2 ba92a4ac ba92a4b0 0 0
80e2096e 85c77444 e4db71c3 ba92a4b0 ba92a4b4 0 1
8c2f8809 21f08715 d627653e ba92a4b0 ba92a4b4 0 1
e93c9435 9431791d 72dd1a68 ba92a4b0 ba92a4b4 0 0
f50d89cc 450936c3 f8193681 ba92a4b4 ba92a4b8 0 1
0e53afc3 15b546c4 02d8487a ba92a4b4 ba92a4b8 0 0
21b2a782 7c416063 0130274f ba92a4b8 ba92a4bc 0 1
2fc421f5 c12fce35 cd816446 ba92a4b8 ba92a4bc 0 1
fb7146fc f31e66a8 80dcfc91 ba92a4b8 ba92a4bc 0 1
42d25674 dc6f2f48 ab44cd87 ba92a4b8 ba92a4bc 0 1
f9116dfc a953daac bf8398a3 ba92a4b8 ba92a4bc 1 1
50a89fb8 7ced259d bd509661 ba92a4b8 ba92a4bc 0 0
4bd0ca59 e2ef5cc7 abc71f3e ba92a4bc ba92a4c0 0 0
c0410298 22b400bb 225166e0 ba92a4c0 ba92a4c4 0 0
9ac6a6b7 3b5c9b5e 297bb494 ba92a4c4 ba92a4c8 0 1
1c62d24c abbaec9f f71bedaa ba92a4c4 ba92a4c8 0 0
7d48263c aba4870b e4a8c87b ba92a4c8 ba92a4cc 0 0
e58e3bb7 6f50ea23 dfe96ea8 ba92a4cc ba92a4d0 0 1
c0ce69a7 82895155 afb25252 ba92a4cc ba92a4d0 0 0
ff7bfbc6 42a67c2b 5a3ddfe7 ba92a4d0 ba92a4d4 0 0
75b12dc8 35f9fc00 ca2ddf06 ba92a4d4 ba92a4d8 0 0
ed5a8d66 fd193e8f dc340811 ba92a4d8 ba92a4dc 0 1
3539be41 8529f5f2 77942c87 ba92a4d8 ba92a4dc 0 0
ea81b20d 5aad8db9 c747296f ba92a4dc ba92a4e0 0 0
a5bc5033 c43dac05 7e5a809b ba92a4e0 ba92a4e4 0 0
7837e23b 4c607d05 bd58ff07 ba92a4e4 ba92a4e8 0 1
36519cb7 8028f5a9 289c8f99 ba92a4e4 ba92a4e8 0 1
de8eb984 a295405f a93ce73c ba92a4e4 ba92a4e8 0 0
ba5dee16 bd01a4ec 2ceb82f8 ba92a4e8 ba92a4ec 0 1
ab6779f1 105a6210 4420d910 ba92a4e8 ba92a4ec 0 0
c69f49d7 6f6d2764 f9bf17ed ba92a4ec ba92a4f0 0 0
4a35a9f0 03967d28 c05d3928 ba92a4f0 ba92a4f4 0 0
e9b39e28 0cd765bf 227b7938 ba92a4f4 ba92a4f8 0 0
8b6401b0 0becf654 b9901416 ba92a4f8 ba92a4fc 0 0
a6ab6c3d 2fcecdfd 40164d9a ba92a4fc ba92a500 0 0
c06a58eb dcd65699 e7d562c9 ba92a500 ba92a504 2 0
3cc11c98 2c52c874 a1ef1a12 dcd65699 dcd6569d 0 0
a265d628 f0e467d4 7e015221 dcd6569d dcd656a1 0 1
7d08604b 9c3c452e a43b2741 dcd6569d dcd656a1 0 0
4d13583f 90525dba 9fa2925c dcd656a1 dcd656a5 0 0
b241c07f 90156634 f2c423ac dcd656a5 dcd656a9 0 1
8a2bb7a2 232dcef2 06c265be dcd656a5 dcd656a9 0 0
73d05cf0 de2e8893 d77d59ec dcd656a9 dcd656ad 0 1
24a6b6c3 e667dce8 2b82c4c4 dcd656a9 dcd656ad 0 1
a7c69071 d68c82f6 93e6b8f5 dcd656a9 dcd656ad 0 0
ac9fd98f 5be37f08 a98d3d47 dcd656ad dcd656b1 0 0
bcc905b1 b6107185 7a4df813 dcd656b1 dcd656b5 0 0
1e6ce693 c0beee08 866e2532 dcd656b5 dcd656b9 0 1
e1e94d3d 28e5cdbe 73ffbdbc dcd656b5 dcd656b9 0 1
1eb05596 fec3b8f7 69cfc240 dcd656b5 dcd656b9 0 1
ca319ba7 4dba792a 7d7352ac dcd656b5 dcd656b9 0 0
af761be8 e28da06f 7dd8bb2d dcd656b9 dcd656bd 0 0
741c9d77 6adca56a 36554076 dcd656bd dcd656c1 0 1
4a343639 587f9a15 ab17b92d dcd656bd dcd656c1 0 1
43bcdb7a f5aa012d 90e3c6b1 dcd656bd dcd656c1 0 1
cf72c3be 06d63f46 39b1f640 dcd656bd dcd656c1 0 0
da25ff77 6703b952 9cbabc66 dcd656c1 dcd656c5 0 0
51976791 83b97749 3f51a885 dcd656c5 dcd656c9 0 0
b6cba24d d7d90c95 2913350f dcd656c9 dcd656cd 0 1
1be356e1 cfb2417b bfff2228 dcd656c9 dcd656cd 0 1
c7757957 4b977222 04679c00 dcd656c9 dcd656cd 3 0
30451c23 a0ed682d c1a73539 04679c00 04679c04 0 1
75574eb3 b3f82940 0cda690d 04679c00 04679c04 0 0
89d69dc6 8e4df6b1 23b03e56 04679c04 04679c08 0 0
342662bd ef37c364 2275ea6c 04679c08 04679c0c 0 0
73a218ba c6829c79 1aa21d1b 04679c0c 04679c10 0 0
69842f5d c71cd94a ec0ef758 04679c10 04679c14 0 0
e378605b 164323bf 1a2afa23 04679c14 04679c18 0 1
3fb8416e 246349d6 b94bb4bb 04679c14 04679c18 0 0
d65845d2 a021ced5 2c448545 04679c18 04679c1c 0 1
7961161b 3f042d59 e9485f60 04679c18 04679c1c 0 0
60196c27 15d7cc3a 7eb0021a 04679c1c 04679c20 0 1
de233f35 4d3fa36c c7dad481 04679c1c 04679c20 0 1
26d0b661 47f5a063 66ac49d1 04679c1c 04679c20 0 0
3bee114d 53621aa4 2be28784 04679c20 04679c24 0 0
f56a495c 26922d5d b9f0103b 04679c24 04679c28 0 1
aabbdfd9 f721f0d3 b6f549a0 04679c24 04679c28 0 0
9b0f05b1 8dfe5172 34c00903 04679c28 04679c2c 0 1
523626b2 6d9bbe26 4db70a57 04679c28 04679c2c 0 0
cb9ce7b3 600c0f56 f3d49a79 04679c2c 04679c30 0 1
58ba2e52 8c84073f c5ed46e0 04679c2c 04679c30 0 0
309ede70 8caa8300 596cfa8f 04679c30 04679c34 0 1
74d7f249 7aa303b8 3fce1cd5 04679c30 04679c34 0 1
834a7492 0f859076 6b292e4c 04679c30 04679c34 0 1
36eff098 403bd406 12d98bb2 04679c30 04679c34 0 0
78f586cd ba5f03e8 c08986f5 04679c34 04679c38 2 0
dd7694ab 10b66239 aeaad257 ba5f03e8 ba5f03ec 0 0
80b61e7f be783183 d4118776 ba5f03ec ba5f03f0 0 0
84fd498b afa38bf4 bd48b86a ba5f03f0 ba5f03f4 0 1
7770c62c ccbd2a5b d73787a8 ba5f03f0 ba5f03f4 0 0
ff9f8baa 26308824 2091a428 ba5f03f4 ba5f03f8 0 0
cd2aa387 c408f1f3 ed7cbb2d ba5f03f8 ba5f03fc 0 0
afa4403d 679ce3e5 0d521ec0 ba5f03fc ba5f0400 0 0
5bcb1c15 8f5e12cc dec9e4f7 ba5f0400 ba5f0404 0 1
7bcc987d 77763834 2eb246fa ba5f0400 ba5f0404 0 1
f8f82409 d99dccb8 d84e9145 ba5f0400 ba5f0404 0 1
dc0739d4 c75916ed 9006d014 ba5f0400 ba5f0404 0 0
d40417d2 1b561912 161aa36d ba5f0404 ba5f0408 0 0
ecc07db2 f6093f55 0f82c5cd ba5f0408 ba5f040c 0 1
ec86e1a0 20248ca7 d57f2380 ba5f0408 ba5f040c 0 0
a0f96cba d1a9eb34 e2f706e2 ba5f040c ba5f0410 0 1
0e77a01e f0fe163e fc207d10 ba5f040c ba5f0410 0 1
7507afa5 614b0f14 bc4adfc3 ba5f040c ba5f0410 0 1
47c75b7d b1817f0c eb01a9bc ba5f040c ba5f0410 0 0
c79c22ab b7b91b95 c7fb768e ba5f0410 ba5f0414 0 0
140ec9ac f2b0bf2f e3104084 ba5f0414 ba5f0418 0 0
3ed4935a 73aba83c 95c20567 ba5f0418 ba5f041c 0 1
0f20c241 2b834a49 9e94d455 ba5f0418 ba5f041c 0 0
980d1d64 e70fba17 1ec1b019 ba5f041c ba5f0420 0 1
23de3d6b 556e77d7 2ae07df7 ba5f041c ba5f0420 0 0
7afb0aaf 4121ba7d 7846556f ba5f0420 ba5f0424 0 0
69549d81 a98c1c83 f2bac3cb ba5f0424 ba5f0428 0 0
1cef6b30 9459ef1b 315d773b ba5f0428 ba5f042c 0 0
91907308 49f120e9 d1033908 ba5f042c ba5f0430 0 1
eded00e4 50426035 27384975 ba5f042c ba5f0430 0 0
d7c76c3e f27e62f5 56e1b078 ba5f0430 ba5f0434 0 1
1ce5a560 2a55fb3b 1298981f ba5f0430 ba5f0434 0 0
bf114fa6 d32c2927 bc37e4c3 ba5f0434 ba5f0438 0 1
e7170fa7 fde90168 53d7d218 ba5f0434 ba5f0438 0 0
b32ca934 f2cd61fd b72327f7 ba5f0438 ba5f043c 0 0
705d91a8 5775013e 37c5ddf3 ba5f043c ba5f0440 0 0
d9bf8344 491551c8 491fc72a ba5f0440 ba5f0444 0 0
27127139 cca6361e f714cbb0 ba5f0444 ba5f0448 0 1
22e52987 8f5e9886 8f35b031 ba5f0444 ba5f0448 0 0
a2274e8c 87c4c391 f4e2f417 ba5f0448 ba5f044c 0 0
650bd0dc a9e6099a b1f6dca7 ba5f044c ba5f0450 0 0
e1fe5e7c e0c12622 ad519768 ba5f0450 ba5f0454 0 0
e42742f8 ce3d1aa4 5afba947 ba5f0454 ba5f0458 0 0
883b4f1c 0be10f6e 6861ec51 ba5f0458 ba5f045c 0 1
19943b1a 8c55243b 8b05475b ba5f0458 ba5f045c 0 0
eb712523 c741a368 9101e6c8 ba5f045c ba5f0460 0 0
47c2575c c89b7127 c93cac6e ba5f0460 ba5f0464 0 0
fba3a29e a920c32e 59ed9f11 ba5f0464 ba5f0468 0 0
0b3c7b84 d9a98f35 031ffcb1 ba5f0468 ba5f046c 0 1
efd7a78d 4b1a1b68 300a18cb ba5f0468 ba5f046c 0 1
6be76fb6 63ca78cc f6da28df ba5f0468 ba5f046c 0 0
3d5f2c5c 2b71b80f 058f8362 ba5f046c ba5f0470 0 1
be0b22b7 19def781 33d83706 ba5f046c ba5f0470 0 1
23eff3d3 80742e47 46b3f495 ba5f046c ba5f0470 0 1
ef5dc324 ba1573fc e690f9fa ba5f046c ba5f0470 0 0
eef4afca 101dba2b 3406e5e6 ba5f0470 ba5f0474 0 1
fb279b23 df0c95de f1232722 ba5f0470 ba5f0474 0 0
56b5e47b 8c3365ef 0ef81634 ba5f0474 ba5f0478 0 0
2263c31e e836484d 6219efa5 ba5f0478 ba5f047c 0 0
69166ac4 3aa0b072 6370bfb6 ba5f047c ba5f0480 0 1
0c8f794d 2403dcf2 4b465834 ba5f047c ba5f0480 0 0
f5081bd9 3ae430dd 8c877610 ba5f0480 ba5f0484 0 1
830cc897 ac5e498c e6770c78 ba5f0480 ba5f0484 0 0
4b957aae a6cbd248 5b241df5 ba5f0484 ba5f0488 0 0
0e329ab4 d970c05d 75f93fe9 ba5f0488 ba5f048c 0 0
3379c08d af71c509 a8fa9c50 ba5f048c ba5f0490 0 0
05f8d970 8dd35d1e 4947adf1 ba5f0490 ba5f0494 0 1
c9467a31 dcd80742 b82e5aca ba5f0490 ba5f0494 0 0
0fe72986 b3929379 ca9b5d8b ba5f0494 ba5f0498 0 0
8b1de78b 827407ba 0aa1edb2 ba5f0498 ba5f049c 0 1
5dfec3ec 97eb22b9 702cd027 ba5f0498 ba5f049c 0 1
8d2c92c5 407d7e59 67672704 ba5f0498 ba5f049c 0 0
c933d680 0335763b 99a4533c ba5f049c ba5f04a0 0 1
009d2c5c d408afa6 6f5b06d0 ba5f049c ba5f04a0 0 0
be699d07 df900181 a715b8cd ba5f04a0 ba5f04a4 0 1
b20fee3f 3ea74309 24f7220a ba5f04a0 ba5f04a4 2 1
9c1b281e 0ab6ca7d 63db34ef ba5f04a0 ba5f04a4 0 0
b24bb057 0837022e e3fbaac2 ba5f04a4 ba5f04a8 0 0
36a8b0e0 0eabae8b f3298d9b ba5f04a8 ba5f04ac 0 1
839e6a24 15523c3b 8369da9c ba5f04a8 ba5f04ac 0 1
4bb436db 4928d22d 6de0844b ba5f04a8 ba5f04ac 0 0
c06f1ab6 95f456be 92d19cb4 ba5f04ac ba5f04b0 0 1
903a974d af06169c ca31cb40 ba5f04ac ba5f04b0 0 1
c31dc53e 25a1cbbf f79f7eb7 ba5f04ac ba5f04b0 0 1
148fee80 303e0f6e 6cbc5ef2 ba5f04ac ba5f04b0 0 1
3196ee7e f895e60e 90af2001 ba5f04ac ba5f04b0 0 0
66ba91b2 58244bee 160098f3 ba5f04b0 ba5f04b4 0 1
3db22947 e24c8089 81850396 ba5f04b0 ba5f04b4 0 1
5cf8d7a5 fb109ee0 b59f0ef1 ba5f04b0 ba5f04b4 0 1
8e0a9971 17df1209 3949c11e ba5f04b0 ba5f04b4 0 0
84e97406 b6020fd8 889f7ede ba5f04b4 ba5f04b8 0 1
78fd9ee5 a13d2194 96e33133 ba5f04b4 ba5f04b8 0 0
988ba8ba d7a4d448 0d5ead43 ba5f04b8 ba5f04bc 0 0
d48276f8 2cb68c24 a0de86af ba5f04bc ba5f04c0 0 1
d272b5b4 9951ff5f 0560535b ba5f04bc ba5f04c0 0 0
ec137c57 8ed30ab6 bd2b8371 ba5f04c0 ba5f04c4 0 0
4dfccd12 4d59a072 55eff645 ba5f04c4 ba5f04c8 0 0
a3a681c0 e7849e92 ed648990 ba5f04c8 ba5f04cc 0 1
80b9b2fb 1f2dbead 356ca672 ba5f04c8 ba5f04cc 0 0
360e2a87 a10dde0c 18da46be ba5f04cc ba5f04d0 0 0
fd687eb1 acd3b6e4 2a34bb5f ba5f04d0 ba5f04d4 2 1
d8f3429d 1507ec93 f1b1d175 ba5f04d0 ba5f04d4 0 0
a9bc7e85 626f50e9 da2ed514 ba5f04d4 ba5f04d8 0 1
74b6aec7 255f6c10 0c01de34 ba5f04d4 ba5f04d8 0 1
76c10cec c5f4da5e ed33cb77 ba5f04d4 ba5f04d8 0 0
7e8de8c0 fddedb4a 4bb36121 ba5f04d8 ba5f04dc 0 1
ec562260 3726c613 d42c9b3e ba5f04d8 ba5f04dc 0 0
8f8779be d66b8e93 6770cfb3 ba5f04dc ba5f04e0 0 1
8940cc58 281cc719 8c4e501d ba5f04dc ba5f04e0 0 1
d4ab4d42 b16dab14 471245a6 ba5f04dc ba5f04e0 0 0
caff9c74 92c09e99 ed3bef4d ba5f04e0 ba5f04e4 0 0
c64c86cc ea5347ee 34d5202e ba5f04e4 ba5f04e8 0 1
580b2670 c1b54545 ab32b2f4 ba5f04e4 ba5f04e8 0 1
ea513365 3d0a7bd3 3e5575ee ba5f04e4 ba5f04e8 0 1
19217e26 3e5dc54a d3103a78 ba5f04e4 ba5f04e8 0 1
d09ea782 c32d0856 80d3127d ba5f04e4 ba5f04e8 0 0
0c515cc4 1cd8eec6 7e04ca88 ba5f04e8 ba5f04ec 0 0
83ba06c0 c5aaf58c 9f9d0579 ba5f04ec ba5f04f0 0 1
a47d5258 d7de8b90 1daeecfd ba5f04ec ba5f04f0 0 1
713e6b96 ace7b5b1 ccfad35e ba5f04ec ba5f04f0 0 1
f08d781c 9539dc8e 7da8c9af ba5f04ec ba5f04f0 0 0
ae88b6eb 93b25b93 09ad8888 ba5f04f0 ba5f04f4 0 1
3df5854c 8463e0eb 3d4f499e ba5f04f0 ba5f04f4 0 1
6c3dc51e 9bad2da3 2075ffb0 ba5f04f0 ba5f04f4 0 0
9234beba 1b2ee453 58b2d80b ba5f04f4 ba5f04f8 0 0
7d3a618b e46e2120 50e3daba ba5f04f8 ba5f04fc 2 1
8bc3681e 7908ef50 16f7bcb7 ba5f04f8 ba5f04fc 0 1
a8d0473a b4329eaa df0d2987 ba5f04f8 ba5f04fc 0 0
f7fe17af 5c6f314d ba26acd9 ba5f04fc ba5f0500 0 1
c7f5f917 e5920f46 b7ccf2ad ba5f04fc ba5f0500 0 0
ca2c8ce6 896d113f 7a0d610d ba5f0500 ba5f0504 0 1
a147b9b6 4824b8c1 302a442c ba5f0500 ba5f0504 0 0
a74c4187 bccd2dcc 9f93a695 ba5f0504 ba5f0508 0 1
d51244c5 de687506 92cd5a16 ba5f0504 ba5f0508 0 1
c1642988 c500a3ba 3f4264e6 ba5f0504 ba5f0508 0 0
04affac8 f811cb87 de8f29ee ba5f0508 ba5f050c 0 0
5b0689d8 35ebb01b de57209d ba5f050c ba5f0510 0 0
3786a625 9d4097b9 d0368497 ba5f0510 ba5f0514 0 1
3f5aa30f e12a419e 1b25e226 ba5f0510 ba5f0514 0 0
a574f6cd c4c09724 008249d2 ba5f0514 ba5f0518 0 1
60faaedb 91035ab5 8f3cb3bb ba5f0514 ba5f0518 0 0
8918e658 43b45839 30e1c96d ba5f0518 ba5f051c 0 1
fe82d3c1 3f1c7dbf 5510cf26 ba5f0518 ba5f051c 0 1
d5e2c4f1 04069e70 554f37fb ba5f0518 ba5f051c 0 0
40c4e4a9 4536610f 6c34e290 ba5f051c ba5f0520 0 0
f794cbe3 8de7fc7f da9df88e ba5f0520 ba5f0524 0 1
36b3efcf 158ed61c f8aff295 ba5f0520 ba5f0524 0 1
c1cfbc50 7a1ac46a faa4b9d9 ba5f0520 ba5f0524 0 0
7c3841fa ab8ed468 134edc80 ba5f0524 ba5f0528 0 1
adcb59c1 5ee6036a 4a689127 ba5f0524 ba5f0528 0 0
825a34a4 b014acee a5bf0007 ba5f0528 ba5f052c 2 1
153cc049 82104c4a a6073e88 ba5f0528 ba5f052c 0 0
a72bca80 0c0d851e 16f27e16 ba5f052c ba5f0530 0 0
c202a071 2f625f8e d62c27e6 ba5f0530 ba5f0534 0 1
a0f7cc45 225fb60c 4848268c ba5f0530 ba5f0534 0 0
9f66ad7f 92a79eb0 885993e6 ba5f0534 ba5f0538 0 0
5837b9b2 dfd0b897 c2f08a94 ba5f0538 ba5f053c 0 1
4347a24c 7c7083d4 4fb1eca7 ba5f0538 ba5f053c 0 1
cf04cc79 c2ceecb9 cea52e58 ba5f0538 ba5f053c 0 0
10477e33 7f22b2de 60b6a304 ba5f053c ba5f0540 0 1
5532bdff 1a059e61 62657a90 ba5f053c ba5f0540 0 1
625cb3b4 4ad5f3f4 10f1dd15 ba5f053c ba5f0540 0 0
7670404c 48121663 b4ad7b3b ba5f0540 ba5f0544 0 1
0c9d3a8a 78e51cdf 7b0cdb2f ba5f0540 ba5f0544 0 1
649f6039 d90c0a1c 16076813 ba5f0540 ba5f0544 0 1
78d071b3 c271e687 5b849614 ba5f0540 ba5f0544 0 1
d79bacee c6239b25 162cf70a ba5f0540 ba5f0544 0 1
399ce2ac 19b55fb7 513406e3 ba5f0540 ba5f0544 0 0
bc14d2a8 3dc650ef 813fe721 ba5f0544 ba5f0548 0 0
aa7e6b5b 00d6f9c6 8c8b6c7e ba5f0548 ba5f054c 0 1
358a6147 485be36b ddca4767 ba5f0548 ba5f054c 0 1
7dd42fc1 53418d0e ad708e49 ba5f0548 ba5f054c 0 0
622c3a18 7528e038 4789bd8a ba5f054c ba5f0550 0 1
8bfcf433 2ccc7450 c676570f ba5f054c ba5f0550 0 1
228ec4b3 a1de3685 6f6145bd ba5f054c ba5f0550 0 1
287237f1 0f23c703 45079405 ba5f054c ba5f0550 0 1
55c0395d 58ef7a50 e9219784 ba5f054c ba5f0550 0 0
669637a2 c369b2e8 575b5a08 ba5f0550 ba5f0554 0 1
3da85b13 a5b18942 06c005f7 ba5f0550 ba5f0554 0 1
289c3975 93595037 abc4f000 ba5f0550 ba5f0554 0 1
14240913 c8b7136c aeff00b3 ba5f0550 ba5f0554 0 0
e60036e7 43f751a8 1bb81674 ba5f0554 ba5f0558 0 1
76ca719b 1f1c83c5 a6911bcd ba5f0554 ba5f0558 0 1
c7015ce4 4281e578 7967a31d ba5f0554 ba5f0558 0 1
f5a9f496 f40c0bff 7f666679 ba5f0554 ba5f0558 0 0
629c64eb 9f43c469 984feacb ba5f0558 ba5f055c 0 1
5c173ea7 d5903a67 7a632386 ba5f0558 ba5f055c 0 0
21cd6c50 2e1bc2ef ae1722e9 ba5f055c ba5f0560 0 1
44091c29 272f8169 728bad43 ba5f055c ba5f0560 0 1
73dd5135 82b5101c 8b0a9704 ba5f055c ba5f0560 0 0
3214620f 9be07eec 0d1f5d9b ba5f0560 ba5f0564 0 1
